TF,Gene,R_squared_dogbox
ACE2,CLB1,0.9418817439478389
ACE2,CLB2,0.5144876560015073
ACE2,CLB3,0.9891770875810083
ACE2,CLB6,0.9718060130773237
ACE2,CLN1,0.6444980168011687
ACE2,CLN2,0.7461518374125637
ACE2,CLN3,0.3449922383680155
ACE2,HCM1,0.9671740868546348
ACE2,NDD1,0.8729601533886997
ACE2,NRM1,0.07686492169028214
ACE2,PLM2,0.1172083351638008
ACE2,STB1,0.6289335713826048
ACE2,SWI4,0.4864323174514553
ACE2,SWI5,0.034717231832144924
ACE2,TOS4,0.9990003958825965
ACE2,WHI5,0.41424723506674754
ACE2,YHP1,0.9978313645389707
ACE2,YOX1,0.9127392592632578
FKH1,ACE2,0.882796222934481
FKH1,CDC20,0.5413870987723419
FKH1,CLB1,0.4550528690861071
FKH1,CLB2,0.45524758697117607
FKH1,CLB3,0.9312606861957623
FKH1,CLB4,0.12151629832453825
FKH1,CLB5,0.8574709297854376
FKH1,CLB6,1.1102230246251565e-16
FKH1,CLN1,0.5774495482984748
FKH1,CLN2,0.27689682349674094
FKH1,CLN3,0.22883488249895179
FKH1,FKH2,0.11986236648132986
FKH1,MBP1,1.1102230246251565e-16
FKH1,NDD1,0.0
FKH1,NRM1,0.9905166219260421
FKH1,PLM2,0.9879361223701407
FKH1,STB1,0.9238696874685592
FKH1,SWI4,0.882460725537444
FKH1,SWI5,0.9825340380933795
FKH1,SWI6,0.9968726817135183
FKH1,YHP1,0.9961598029463268
FKH1,YOX1,0.06775494514706526
FKH2,ACE2,0.1601355212016603
FKH2,CDC20,0.9521192040032932
FKH2,CDH1,0.860007230396219
FKH2,CLB1,0.9829618642230302
FKH2,CLB2,0.3213025957903056
FKH2,CLB3,0.5763517711698781
FKH2,CLB4,0.12930063167332284
FKH2,CLB6,0.08796003140351227
FKH2,CLN1,0.5132225575222586
FKH2,CLN2,0.9917263681362215
FKH2,CLN3,0.5850038569016573
FKH2,FKH1,0.9933054588223014
FKH2,HCM1,0.0
FKH2,MBP1,0.08785264024617456
FKH2,MCM1,0.40941845744356176
FKH2,NDD1,0.96094065070828
FKH2,NRM1,0.9977898370084164
FKH2,PLM2,0.980255135389626
FKH2,STB1,0.7689624988759545
FKH2,SWI5,0.14924300798103185
FKH2,SWI6,0.03729479387633394
FKH2,TOS4,0.6623313604330392
FKH2,WHI5,0.0
FKH2,YOX1,0.21009895314945282
HCM1,CDC20,0.8869275660633571
HCM1,CLB3,0.9974439796787337
HCM1,CLB4,0.9969989294164953
HCM1,CLB5,0.07823463236042605
HCM1,CLB6,0.7553888533671758
HCM1,CLN1,0.14550542545704592
HCM1,CLN2,0.009797119707841806
HCM1,CLN3,0.5197049350436727
HCM1,FKH1,0.9887526237013534
HCM1,FKH2,0.9989549715530762
HCM1,MBP1,0.9903781330880215
HCM1,NDD1,0.9991656769348756
HCM1,NRM1,0.9975929177108077
HCM1,PLM2,0.9882119577689072
HCM1,SWI4,-2.220446049250313e-16
HCM1,SWI5,0.9888560473307946
HCM1,SWI6,0.9893966343212187
HCM1,TOS4,2.220446049250313e-16
HCM1,WHI5,0.9975542734355165
HCM1,YHP1,0.9816743585565549
HCM1,YOX1,0.9094140088363573
MBP1,ACE2,0.938801021155266
MBP1,CDC20,1.0
MBP1,CDH1,0.8584488667537227
MBP1,CLB1,0.22707062755118723
MBP1,CLB3,0.7806008276347115
MBP1,CLB4,1.0
MBP1,CLB5,0.9999999999999998
MBP1,CLB6,1.0
MBP1,CLN1,1.0
MBP1,CLN3,0.2561122580646914
MBP1,FKH1,0.9505218085020565
MBP1,FKH2,0.9922991633583623
MBP1,HCM1,0.5089845510426665
MBP1,MCM1,0.9721668528279458
MBP1,NDD1,1.0
MBP1,NRM1,0.8905178400808398
MBP1,PLM2,1.0
MBP1,SWI4,0.9999999999999986
MBP1,SWI6,1.0
MBP1,TOS4,0.6714515016598268
MBP1,YOX1,1.0
NRM1,ACE2,0.49797452434610234
NRM1,CDC20,1.1102230246251565e-16
NRM1,CDH1,0.8540820821205748
NRM1,CLB1,0.9568222078417056
NRM1,CLB2,0.5613746094847787
NRM1,CLB3,0.2034404916740271
NRM1,CLB4,0.6148452994577251
NRM1,CLB5,0.9072114604968633
NRM1,CLB6,0.9776708861197766
NRM1,CLN1,0.0
NRM1,CLN2,0.8908846445003634
NRM1,CLN3,0.7707102830858318
NRM1,FKH1,0.7409609736835839
NRM1,FKH2,0.06196950221102948
NRM1,HCM1,0.9851333366492543
NRM1,MBP1,0.06803357519373798
NRM1,NDD1,0.9366183518526312
NRM1,PLM2,0.9363587002741808
NRM1,STB1,0.9781788624798116
NRM1,SWI4,0.6197590889727378
NRM1,SWI6,0.6585002562646944
NRM1,TOS4,0.9190271783362086
NRM1,WHI5,0.399940911279835
NRM1,YHP1,0.9967690989228606
NRM1,YOX1,0.9863598853220213
STB1,CLB5,0.9982714164759395
STB1,CLB6,0.9064591205037198
STB1,CLN1,0.914770896658085
STB1,CLN2,0.7317914629489249
STB1,HCM1,0.9369666630062976
STB1,NRM1,0.9803660986345358
STB1,PLM2,0.9980605871705082
STB1,SWI4,0.16217052769983353
STB1,TOS4,0.9983108316731353
STB1,YHP1,0.9419803964388007
STB1,YOX1,0.6813507379874466
SWI5,ACE2,0.5227715557204344
SWI5,CDC20,0.07752634113024193
SWI5,CLB1,0.8221468501739893
SWI5,CLB2,0.6691429342804041
SWI5,CLB3,0.39242175914576505
SWI5,CLB5,0.9681056709946753
SWI5,CLB6,0.9005177267250354
SWI5,CLN1,0.5497986164800539
SWI5,CLN2,0.9717115740035704
SWI5,CLN3,0.7671185471575057
SWI5,FKH1,-2.220446049250313e-16
SWI5,FKH2,0.6656022991967506
SWI5,HCM1,0.0
SWI5,MBP1,0.7355099605501572
SWI5,NDD1,0.6084675206962962
SWI5,NRM1,0.5838125632994484
SWI5,PLM2,0.6876848336038989
SWI5,STB1,0.7548333616135129
SWI5,SWI4,0.9960052618779213
SWI5,SWI6,0.4194178814017163
SWI5,TOS4,0.6189464985113335
SWI5,WHI5,0.13282841266368794
SWI5,YHP1,0.4869661071581869
SWI5,YOX1,0.0
SWI6,ACE2,0.0
SWI6,CLB1,0.8116902923088836
SWI6,CLB4,0.9936480648178677
SWI6,CLB5,0.9863963329416344
SWI6,CLB6,0.9995465124970291
SWI6,CLN1,0.9665586684521595
SWI6,CLN2,0.9896051470077578
SWI6,CLN3,0.0067213155677566805
SWI6,FKH1,0.9182137823361899
SWI6,HCM1,0.9708527056105373
SWI6,MBP1,0.017584686331150623
SWI6,MCM1,0.8118720570064366
SWI6,NDD1,0.24959514668225635
SWI6,NRM1,0.9310876432716595
SWI6,PLM2,0.9953406426893645
SWI6,STB1,0.9224228586444533
SWI6,SWI4,0.9587922906234819
SWI6,SWI5,0.10100153629886444
SWI6,TOS4,0.6188834940585952
SWI6,WHI5,0.45381333063208185
SWI6,YHP1,0.932635928133827
SWI6,YOX1,0.999330746800332
WHI5,CLB1,0.40681809472725394
WHI5,CLB3,0.9834981555199787
WHI5,CLB4,0.9970538732771403
WHI5,CLB5,0.9983168594142274
WHI5,CLB6,0.17096779153566932
WHI5,CLN1,0.986313691344423
WHI5,CLN2,0.20054258624276333
WHI5,CLN3,0.9896354091206209
WHI5,FKH1,1.1102230246251565e-16
WHI5,HCM1,0.14330368513964697
WHI5,NDD1,0.0
WHI5,NRM1,0.15320364271210818
WHI5,PLM2,0.9949970001742778
WHI5,STB1,0.9975140775760816
WHI5,SWI4,0.9977400105683395
WHI5,TOS4,0.1395580287046574
WHI5,YHP1,0.7860122974831317
WHI5,YOX1,0.8891752851519685
YHP1,CDC20,0.9554359980653893
YHP1,CLB1,0.20139309748407264
YHP1,CLB2,0.9683030549819146
YHP1,HCM1,0.06760538092304913
YHP1,PLM2,0.9142024441341092
YHP1,YOX1,0.9847030370050537
YOX1,CDC20,0.37479271127271485
YOX1,CLB2,0.970351522675656
YOX1,CLB6,0.9526720911256328
YOX1,CLN1,0.8312823477416422
YOX1,CLN2,0.2705895629004935
YOX1,CLN3,0.6367422145230591
YOX1,MBP1,0.6292862961907815
YOX1,PLM2,0.04187605530626304
YOX1,STB1,0.5866714274611995
YOX1,SWI4,0.9835426738477745
YOX1,SWI5,2.220446049250313e-16
YOX1,TOS4,0.5063046870430563
YOX1,YHP1,0.20020569265775123
